[2026-01-23 12:08:47 : INFO] - Cache for URL: https://www.depannagepcgard.fr/creation-de-site-web/ has been purged, triggered by action: save_post 
[2026-01-23 12:08:47 : INFO] - Cache for author page URL: https://www.depannagepcgard.fr/author/admin9108/ associated with post_type: page and Title: "Création de site web" has been purged, triggered by action: save_post 
[2026-01-23 12:13:40 : INFO] - Cache for URL: https://www.depannagepcgard.fr/montage-pc/ has been purged, triggered by action: save_post 
[2026-01-23 12:13:40 : INFO] - Cache for author page URL: https://www.depannagepcgard.fr/author/admin9108/ associated with post_type: page and Title: "Montage PC Réalisé" has been purged, triggered by action: save_post 
[2026-01-23 12:13:41 : INFO] - Cache for URL: https://www.depannagepcgard.fr/montage-pc/ has been purged, triggered by action: save_post 
[2026-01-23 12:13:41 : INFO] - Cache for author page URL: https://www.depannagepcgard.fr/author/admin9108/ associated with post_type: page and Title: "Montage PC Réalisé" has been purged, triggered by action: save_post 
[2026-01-23 12:16:06 : INFO] - Cache for URL: https://www.depannagepcgard.fr/ has been purged, triggered by action: save_post 
[2026-01-23 12:16:06 : INFO] - Cache for author page URL: https://www.depannagepcgard.fr/author/admin9108/ associated with post_type: page and Title: "Accueil" has been purged, triggered by action: save_post 
[2026-01-23 12:16:07 : INFO] - Cache for URL: https://www.depannagepcgard.fr/ has been purged, triggered by action: save_post 
[2026-01-23 12:16:07 : INFO] - Cache for author page URL: https://www.depannagepcgard.fr/author/admin9108/ associated with post_type: page and Title: "Accueil" has been purged, triggered by action: save_post 
[2026-01-23 12:17:12 : INFO] - Cache for URL: https://www.depannagepcgard.fr/configurateur-pc/ has been purged, triggered by action: save_post 
[2026-01-23 12:17:12 : INFO] - Cache for author page URL: https://www.depannagepcgard.fr/author/admin9108/ associated with post_type: page and Title: "CONFIGURATEUR PC" has been purged, triggered by action: save_post 
[2026-01-23 12:17:12 : INFO] - Cache for URL: https://www.depannagepcgard.fr/configurateur-pc/ has been purged, triggered by action: save_post 
[2026-01-23 12:17:12 : INFO] - Cache for author page URL: https://www.depannagepcgard.fr/author/admin9108/ associated with post_type: page and Title: "CONFIGURATEUR PC" has been purged, triggered by action: save_post 
[2026-01-23 12:23:03 : INFO] - Cache for URL: https://www.depannagepcgard.fr/configurateur-pc/ has been purged, triggered by action: save_post 
[2026-01-23 12:23:03 : INFO] - Cache for author page URL: https://www.depannagepcgard.fr/author/admin9108/ associated with post_type: page and Title: "CONFIGURATEUR PC" has been purged, triggered by action: save_post 
[2026-01-23 12:23:03 : INFO] - Cache for URL: https://www.depannagepcgard.fr/configurateur-pc/ has been purged, triggered by action: save_post 
[2026-01-23 12:23:03 : INFO] - Cache for author page URL: https://www.depannagepcgard.fr/author/admin9108/ associated with post_type: page and Title: "CONFIGURATEUR PC" has been purged, triggered by action: save_post 
[2026-01-23 12:51:55 : INFO] - Full Cache Purge triggered by: plugin activation/deactivation 
[2026-01-23 13:00:44 : INFO] - Full Cache Purge triggered by: plugin activation/deactivation 
[2026-01-23 13:01:28 : INFO] - Full Cache Purge triggered by: plugin activation/deactivation 
[2026-01-23 13:02:16 : INFO] - Full Cache Purge triggered by: plugin activation/deactivation 
[2026-01-23 14:54:22 : INFO] - Cache for URL: https://www.depannagepcgard.fr/ has been purged, triggered by action: save_post 
[2026-01-23 14:54:22 : INFO] - Cache for author page URL: https://www.depannagepcgard.fr/author/admin9108/ associated with post_type: page and Title: "Accueil" has been purged, triggered by action: save_post 
[2026-01-23 14:54:23 : INFO] - Cache for URL: https://www.depannagepcgard.fr/ has been purged, triggered by action: save_post 
[2026-01-23 14:54:23 : INFO] - Cache for author page URL: https://www.depannagepcgard.fr/author/admin9108/ associated with post_type: page and Title: "Accueil" has been purged, triggered by action: save_post 
